date,file_id,aoi,tank,conc
10/22/23,Yellow_221023.csv,5,3,Yellow
10/22/23,Yellow_221023.csv,6,3,Yellow
10/22/23,Yellow_221023.csv,7,8,Yellow
10/22/23,Yellow_221023.csv,8,8,Yellow
10/22/23,Yellow_221023.csv,9,8,Yellow
10/23/23,Blue_231023.csv,1,6,Blue
10/23/23,Blue_231023.csv,2,6,Blue
10/23/23,Blue_231023.csv,3,6,Blue
10/23/23,Blue_231023.csv,4,3,Blue
10/23/23,Blue_231023.csv,5,3,Blue
10/23/23,Blue_231023.csv,6,3,Blue
10/23/23,Blue_231023.csv,7,8,Blue
10/23/23,Blue_231023.csv,8,8,Blue
10/23/23,Blue_231023.csv,9,8,Blue
10/23/23,Green_231023.csv,1,6,Green
10/23/23,Green_231023.csv,2,6,Green
10/23/23,Green_231023.csv,3,6,Green
10/23/23,Green_231023.csv,4,3,Green
10/23/23,Green_231023.csv,5,3,Green
10/23/23,Green_231023.csv,6,8,Green
10/23/23,Green_231023.csv,7,8,Green
10/23/23,Green_231023.csv,8,8,Green
10/23/23,Pink_231023.csv,1,6,Pink
10/23/23,Pink_231023.csv,2,6,Pink
10/23/23,Pink_231023.csv,3,6,Pink
10/23/23,Pink_231023.csv,4,3,Pink
10/23/23,Pink_231023.csv,5,3,Pink
10/23/23,Pink_231023.csv,6,3,Pink
10/23/23,Pink_231023.csv,7,8,Pink
10/23/23,Pink_231023.csv,8,8,Pink
10/23/23,Pink_231023.csv,9,8,Pink
10/23/23,Purple_231023.csv,1,6,Purple
10/23/23,Purple_231023.csv,2,6,Purple
10/23/23,Purple_231023.csv,3,6,Purple
10/23/23,Purple_231023.csv,4,3,Purple
10/23/23,Purple_231023.csv,5,3,Purple
10/23/23,Purple_231023.csv,6,3,Purple
10/23/23,Purple_231023.csv,7,8,Purple
10/23/23,Purple_231023.csv,8,8,Purple
10/23/23,Purple_231023.csv,9,8,Purple
10/23/23,red_231023.csv,1,6,red
10/23/23,red_231023.csv,2,6,red
10/23/23,red_231023.csv,3,6,red
10/23/23,red_231023.csv,4,3,red
10/23/23,red_231023.csv,5,3,red
10/23/23,red_231023.csv,6,3,red
10/23/23,red_231023.csv,7,8,red
10/23/23,Yellow_231023.csv,1,6,Yellow
10/23/23,Yellow_231023.csv,2,6,Yellow
10/23/23,Yellow_231023.csv,3,6,Yellow
10/23/23,Yellow_231023.csv,4,3,Yellow
10/23/23,Yellow_231023.csv,5,3,Yellow
10/23/23,Yellow_231023.csv,6,3,Yellow
10/23/23,Yellow_231023.csv,7,8,Yellow
10/23/23,Yellow_231023.csv,8,8,Yellow
10/23/23,Yellow_231023.csv,9,8,Yellow
10/24/23,Blue_241023.csv,1,6,Blue
10/24/23,Blue_241023.csv,2,6,Blue
